hgnc_symbol,nominations,initial_nomination,teams,study,input_data,pharos_class,classification,safety_bucket_definition,abability_bucket_definition,validation_study_details
MSN,4,"2018","Chang Lab, Emory, MSSM","ACT, BLSA, Kronos, MSBB, ROSMAP","Genetics, Protein, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation, validation studies ongoing"
PLEC,4,"2018","Chang Lab, Columbia-Rush, Emory, MSSM","ACT, BLSA, MSBB, ROSMAP","Clinical, Genetics, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation, validation studies ongoing"
PRDX1,4,"2018","Chang Lab, Columbia-Rush, Emory, MSSM","ACT, BLSA, Kronos, MSBB, ROSMAP","Clinical, Genetics, Protein, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation, validation studies ongoing"
RPH3A,4,"2018","Chang Lab, Columbia-Rush, Emory, MSSM","ACT, BLSA, MSBB, ROSMAP","Clinical, Genetics, Protein",Tbio,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation, validation studies ongoing"
VGF,4,"2018","Columbia-Rush, Emory, Mayo-UFL-ISB, MSSM","ACT, BLSA, Mayo, MSBB, ROSMAP","Genetics, Protein, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation, validation studies completed, validation studies ongoing"
CLU,3,"2018","Columbia-Rush, Duke, Mayo-UFL-ISB","ADNI, APP Mice, ROSMAP","Clinical, Genetics, Metabolome, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
DBI,3,"2018","Columbia-Rush, Emory, MSSM","ACT, BLSA, MSBB, ROSMAP","Clinical, Genetics, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
DNM1,3,"2018","Chang Lab, Emory, MSSM","ACT, BLSA, Mayo, MSBB, ROSMAP","Genetics, Protein, RNA",Tbio,"2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation, validation studies ongoing"
INPP5D,3,"2018","Duke, Mayo-UFL-ISB, MSSM","ADNI, Mayo, MSBB","Genetics, Metabolome, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation, validation studies ongoing"
NRN1,3,"2018","Columbia-Rush, MSSM","MSBB, ROSMAP","Clinical, Genetics, Protein, RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation, validation studies ongoing"
PDHB,3,"2018","Chang Lab, Columbia-Rush, Emory","ACT, BLSA, MSBB, ROSMAP","Clinical, Genetics, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
PRDX6,3,"2018","Chang Lab, Emory, MSSM","ACT, BLSA, Kronos, MSBB, Rush","Genetics, Protein, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","validation studies ongoing, validation studies planned"
SLC25A11,3,"2018","Chang Lab, Columbia-Rush, Emory","ACT, BLSA, MSBB, ROSMAP","Clinical, Genetics, Protein, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SYT1,3,"2018","Chang Lab, Emory, MSSM","ACT, BLSA, Mayo, MSBB, ROSMAP","Genetics, Protein, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
