"outcome","pleiotropy","IV_strength","effect","overlap","r2","number_of_SNPs","xQTL_from_one_sample","Multivariable","Multivariable_tdist","MultivariableLD","MultivariableLD_tdist","IVW_Cauchy_cauchy","IVW_tdist_Cauchy_cauchy","IVW_HMP","IVW_tdist_HMP","IVW_Modality1","IVW_tdist_Modality1","IVW_Modality2","IVW_tdist_Modality2","IVW_Modality3","IVW_tdist_Modality3","IVW_MinP","IVW_tdist_MinP","IVW_Fisher_chisq","IVW_tdist_Fisher_chisq","WGLR_Cauchy_cauchy","WGLR_tdist_Cauchy_cauchy","WGLR_HMP","WGLR_tdist_HMP","WGLR_Modality1","WGLR_tdist_Modality1","WGLR_Modality2","WGLR_tdist_Modality2","WGLR_Modality3","WGLR_tdist_Modality3","WGLR_MinP","WGLR_tdist_MinP","WGLR_Fisher_chisq","WGLR_tdist_Fisher_chisq","WGLR_Fisher_gamma","WGLR_tdist_Fisher_gamma","GSMR_Cauchy_cauchy","GSMR_HMP","GSMR_Modality1","GSMR_Modality2","GSMR_Modality3","GSMR_MinP","GSMR_Fisher_chisq","SMR_allSNPs_Cauchy_cauchy","SMR_allSNPs_HMP","SMR_allSNPs_MinP","SMR_allSNPs_Fisher_chisq","SMR_singleSNP_Cauchy_cauchy","SMR_singleSNP_HMP","SMR_Modality1","SMR_Modality2","SMR_Modality3","SMR_singleSNP_Fisher_chisq","Multivariable_beta1_mean","Multivariable_beta2_mean","Multivariable_beta3_mean","MultivariableLD_beta1_mean","MultivariableLD_beta2_mean","MultivariableLD_beta3_mean","IVW_beta1_mean","IVW_beta2_mean","IVW_beta3_mean","WGLR_beta1_mean","WGLR_beta2_mean","WGLR_beta3_mean","OLS_beta1_mean","OLS_beta2_mean","OLS_beta3_mean","F_1_mean","R2_1_mean","F_2_mean","R2_2_mean","F_3_mean","R2_3_mean","Multivariable_beta1_sd","Multivariable_beta2_sd","Multivariable_beta3_sd","MultivariableLD_beta1_sd","MultivariableLD_beta2_sd","MultivariableLD_beta3_sd","IVW_beta1_sd","IVW_beta2_sd","IVW_beta3_sd","WGLR_beta1_sd","WGLR_beta2_sd","WGLR_beta3_sd","OLS_beta1_sd","OLS_beta2_sd","OLS_beta3_sd","F_1_sd","R2_1_sd","F_2_sd","R2_2_sd","F_3_sd","R2_3_sd"
"continuous","horizontal",0.5,0,0,0,5,TRUE,0.0362,0,0.0362,0,0.0404,3e-04,0.0372,3e-04,0.0377,0.003,0.0406,0.0034,0.0397,0.0041,0.1024,0.0097,0.0509,0.0061,0.0404,3e-04,0.0372,3e-04,0.0377,0.003,0.0406,0.0034,0.0397,0.0041,0.1024,0.0097,0.0509,0.0061,0.0304,0.0011,0.0082,0.0061,0.0165,0.0135,0.0135,0.0385,0.0207,0,0,0.0061,0,3e-04,0,0.0011,5e-04,2e-04,0.0029,0.00396026564933873,0.0128495119647199,-0.00789180194746798,0.00396026564933874,0.0128495119647199,-0.007891801947468,-1.20803391627678e-05,0.00751267654947578,-0.00186359200179757,-1.20803391627669e-05,0.00751267654947578,-0.00186359200179757,0.494439597690951,-0.498196486283729,-0.496628035409045,2.07283417615617,0.020423882938973,1.43670016276148,0.0142591036045541,1.62585483662395,0.0160989209151035,0.802673805786745,1.03892534872083,0.96122616057069,0.802673805786745,1.03892534872083,0.96122616057069,0.381307594054789,0.475917163890461,0.454446986781374,0.381307594054789,0.475917163890461,0.454446986781374,0.0387591728006165,0.0393430453509844,0.039032572631645,1.14652348357556,0.0110092682925709,0.872762571822583,0.0084972955429683,0.969218357030898,0.00939812282793284
"binary_use_control_in_xQTL","horizontal",0.5,0,0,0,5,TRUE,0.0371,0,0.0371,0,0.0387,4e-04,0.0358,0,0.0405,0.0035,0.0397,0.0042,0.0372,0.0038,0.1003,0.0105,0.0487,0.0066,0.0387,4e-04,0.0358,0,0.0405,0.0035,0.0397,0.0042,0.0372,0.0038,0.1003,0.0105,0.0487,0.0066,0.0308,0.001,0.0064,0.0045,0.0133,0.0088,0.0088,0.0279,0.0157,0,0,0.0029,0,1e-04,1e-04,5e-04,2e-04,0,0.001,-0.00533088599672951,0.00247221457318828,0.0124235060112149,-0.00533088599672952,0.00247221457318828,0.0124235060112149,0.00529407708931166,0.0101802064944317,0.0106942526253357,0.00529407708931166,0.0101802064944317,0.0106942526253357,0,0,0,1.55162411556524,0.0304900826258908,1.21745503959064,0.0241119864553094,1.33873192030222,0.026431287868399,0.945458863387831,1.15718040611294,0.890271192497836,0.945458863387831,1.15718040611294,0.890271192497836,0.473371545945245,0.545226801853729,0.513795792339841,0.473371545945245,0.545226801853729,0.513795792339841,0,0,0,0.932417484339252,0.0175965657151876,0.772791222492521,0.0148029034536041,0.84230316194751,0.0160355712548916
"binary_use_all_in_xQTL","horizontal",0.5,0,0,0,5,TRUE,0.0348,0,0.0348,0,0.0356,3e-04,0.033,1e-04,0.0385,0.0029,0.0371,0.004,0.0353,0.0036,0.0966,0.0099,0.0478,0.0052,0.0356,3e-04,0.033,1e-04,0.0385,0.0029,0.0371,0.004,0.0353,0.0036,0.0966,0.0099,0.0478,0.0052,0.0283,0.0011,0.0068,0.0052,0.0157,0.0101,0.0101,0.033,0.0186,0,0,0.0057,0,2e-04,0,3e-04,6e-04,0,0.0013,0.0133967922966789,0.0140142392337886,-0.00781705155072082,0.0133967922966789,0.0140142392337886,-0.00781705155072083,0.00327603491485413,-0.00117539845421931,-0.00605031399901491,0.00327603491485413,-0.00117539845421931,-0.00605031399901491,0.105374655771046,-0.105930978942357,-0.105846982117178,2.0007597108904,0.0197329181874701,1.39128779510529,0.0138157624623035,1.60525177859729,0.015900626559486,1.16108608086406,1.517801247872,1.22665314473476,1.16108608086406,1.517801247872,1.22665314473476,0.536915837778758,0.680833736410539,0.602909183217495,0.536915837778758,0.680833736410539,0.602909183217495,0.013577792274404,0.0135105755721591,0.0136217932100441,1.10114704721701,0.0105974213784022,0.851494689920998,0.00830311988044444,0.949628009802117,0.00921124343563439
"continuous","vertical",0.5,0,0,0,5,TRUE,0.0362,0,0.0362,0,0.041,0.0026,0.0341,0.001,0.0386,0.0038,0.0383,0.0041,0.0386,0.0038,0.0659,0.008,0.0901,0.0299,0.041,0.0026,0.0341,0.001,0.0386,0.0038,0.0383,0.0041,0.0386,0.0038,0.0659,0.008,0.0901,0.0299,0.038,0.0035,0.0169,0.0125,0.0177,0.0184,0.0184,0.0346,0.0613,0,0,0.0083,3e-04,3e-04,1e-04,4e-04,4e-04,5e-04,0.0079,0.00661887957282701,-0.00240520333151895,0.00374761819631425,0.00661887957282685,-0.00240520333151877,0.00374761819631434,-0.000567253955381661,0.00176366076974846,-0.000806576646123046,-0.000567253955381661,0.00176366076974846,-0.000806576646123047,-0.495341835735089,-0.164872941379779,0.00073473038302036,2.07283417615617,0.020423882938973,2.42892995597954,0.0238409994104703,2.43302951105432,0.0238782569858977,2.68470051498491,2.30236789810344,1.35762774052915,2.68470051498491,2.30236789810344,1.35762774052914,0.460703561263134,0.242645525686902,0.242566451836202,0.460703561263134,0.242645525686902,0.242566451836202,0.0496535208465575,0.0300635081000426,0.03135731244475,1.14652348357556,0.0110092682925709,1.27670802168141,0.0121683665991099,1.28683190727434,0.0122518871685088
"binary_use_control_in_xQTL","vertical",0.5,0,0,0,5,TRUE,0.0316,0,0.0316,0,0.0361,0.0016,0.0303,0.0012,0.0329,0.0025,0.0351,0.0029,0.0354,0.0031,0.0656,0.0059,0.0799,0.0232,0.0361,0.0016,0.0303,0.0012,0.0329,0.0025,0.0351,0.0029,0.0354,0.0031,0.0656,0.0059,0.0799,0.0232,0.0343,0.0025,0.0103,0.0063,0.0098,0.0133,0.0133,0.0254,0.0419,0,0,0.004,0,3e-04,2e-04,3e-04,5e-04,6e-04,0.0047,-0.00654490343020846,0.00935142187716953,0.00154007971313143,-0.00654490343020843,0.00935142187716952,0.00154007971313141,0.004162108428585,0.00471162985545111,-0.00188093660858398,0.004162108428585,0.00471162985545111,-0.00188093660858398,0,0,0,1.55874209985127,0.0306217840968885,1.72489722624563,0.0337663589227787,1.71807802607084,0.0336397587010794,2.37169335596508,1.98440728406249,1.1673627601044,2.37169335596508,1.98440728406249,1.1673627601044,0.501673634837829,0.249446090566763,0.245620724626596,0.501673634837829,0.249446090566763,0.245620724626596,0,0,0,0.940187250838883,0.0177371993634053,1.00301831405949,0.0188091759241045,0.998277836094673,0.0187059423194634
"binary_use_all_in_xQTL","vertical",0.5,0,0,0,5,TRUE,0.0342,0,0.0342,0,0.0368,0.0024,0.0307,0.0016,0.0353,0.0034,0.0358,0.0027,0.0364,0.0033,0.0618,0.006,0.0854,0.0281,0.0368,0.0024,0.0307,0.0016,0.0353,0.0034,0.0358,0.0027,0.0364,0.0033,0.0618,0.006,0.0854,0.0281,0.0336,0.0034,0.0137,0.0107,0.016,0.0157,0.0157,0.0306,0.0555,0,0,0.0072,8e-04,6e-04,4e-04,5e-04,9e-04,8e-04,0.0071,-0.00458469662476341,0.00756542418400997,0.00471940586752692,-0.00458469662476346,0.00756542418401009,0.00471940586752704,0.00448529831293119,0.00267575919031768,-0.00247891859321105,0.00448529831293119,0.00267575919031768,-0.00247891859321105,-0.0948034794083554,-0.031997216317374,4.91374514278824e-05,2.04485339827944,0.0201567223031126,2.4024270781235,0.0235931114731871,2.40501922810314,0.0236180671180887,3.42076364778654,2.92356938921005,1.6536401769388,3.42076364778654,2.92356938921005,1.6536401769388,0.525339034548869,0.275298847444974,0.279534763097026,0.525339034548869,0.275298847444974,0.279534763097026,0.0138549530021203,0.00864475018920821,0.00901165491577908,1.12463856902904,0.0108077162274771,1.24308549903841,0.0118664583515001,1.2432490487097,0.0118690707102442
"continuous","horizontal",1,0,0,0,5,TRUE,0.0351,0,0.0351,0,0.0408,5e-04,0.0358,3e-04,0.0384,0.0027,0.0383,0.0046,0.0394,0.0046,0.1005,0.0112,0.054,0.0044,0.0408,5e-04,0.0358,3e-04,0.0384,0.0027,0.0383,0.0046,0.0394,0.0046,0.1005,0.0112,0.054,0.0044,0.0303,0.0012,0.0194,0.0161,0.0318,0.0264,0.0264,0.0668,0.0412,0,0,0.0344,1e-04,0.0014,0.0011,0.0037,0.0044,1e-04,0.0077,-0.00346651666438549,0.00610034007492402,0.00580326027760406,-0.00346651666438547,0.00610034007492404,0.00580326027760405,-0.00137165869635105,0.00637149584254354,-0.00038758774238439,-0.00137165869635105,0.00637149584254355,-0.00038758774238439,0.47948411489958,-0.492031440987524,-0.487504989325881,5.24072414420523,0.0500163898141194,2.70594645794184,0.0264892924455113,3.51341352483917,0.0341063141787838,0.758380279545795,0.913979709306248,0.754444745588573,0.758380279545795,0.913979709306249,0.754444745588573,0.214642039836336,0.317949690008617,0.274736128613877,0.214642039836336,0.317949690008617,0.274736128613877,0.0383949381444355,0.039227451781127,0.038857900667027,2.02535073370229,0.0182689539638391,1.34385097178432,0.0127475481578217,1.59993243722178,0.0149309721314856
"binary_use_control_in_xQTL","horizontal",1,0,0,0,5,TRUE,0.035,0,0.035,0,0.0357,3e-04,0.034,1e-04,0.0386,0.0032,0.0396,0.0044,0.0367,0.0036,0.1001,0.0107,0.0529,0.0052,0.0357,3e-04,0.034,1e-04,0.0386,0.0032,0.0396,0.0044,0.0367,0.0036,0.1001,0.0107,0.0529,0.0052,0.0302,9e-04,0.013,0.0097,0.0232,0.0175,0.0175,0.0484,0.0291,0,0,0.014,2e-04,3e-04,1e-04,0.0014,0.0011,0,0.0032,-0.000428795167875361,0.00234448339844405,0.00962964468687699,-0.000428795167875359,0.00234448339844404,0.00962964468687698,0.00271140183497183,0.0071279486337551,0.00373555210710553,0.00271140183497183,0.0071279486337551,0.00373555210710553,0,0,0,3.20229444103936,0.0608029113222653,1.87470641554401,0.0365707572648138,2.33644421852568,0.0451269191916195,0.770324755385106,0.954786390517194,0.782025691987094,0.770324755385106,0.954786390517194,0.782025691987094,0.2947416941499,0.41380881588205,0.355390673706244,0.2947416941499,0.41380881588205,0.355390673706244,0,0,0,1.51326858541161,0.0267264677786846,1.07463310424611,0.0200135497774641,1.25656943509146,0.0229487733211867
"binary_use_all_in_xQTL","horizontal",1,0,0,0,5,TRUE,0.0343,0,0.0343,0,0.0375,1e-04,0.0337,1e-04,0.0398,0.0039,0.0392,0.0035,0.0353,0.004,0.0979,0.0109,0.0506,0.004,0.0375,1e-04,0.0337,1e-04,0.0398,0.0039,0.0392,0.0035,0.0353,0.004,0.0979,0.0109,0.0506,0.004,0.029,9e-04,0.016,0.0132,0.0319,0.0205,0.0205,0.0609,0.0362,0,0,0.0306,1e-04,5e-04,4e-04,0.0025,0.0028,0,0.0057,0.00490976538868404,0.00887617108173351,-0.00578963802068142,0.00490976538868405,0.00887617108173354,-0.00578963802068143,0.00110360014162242,0.00170730992677938,-0.00355694471010914,0.00110360014162242,0.00170730992677938,-0.00355694471010914,0.102307297981192,-0.104682871059892,-0.103979418415331,5.02336951556454,0.0480537413812441,2.58933524077466,0.0253770040246782,3.42486923343218,0.0332836814804856,1.02365816386252,1.24412156624903,1.01122912321964,1.02365816386252,1.24412156624903,1.01122912321964,0.303253491965554,0.459511234845613,0.375261596017953,0.303253491965554,0.459511234845613,0.375261596017953,0.0134409101786299,0.0134494844379036,0.0135206085328506,1.94453201484118,0.0176310533781502,1.31230613641849,0.0124834755839384,1.5497049122581,0.0144912987455343
"continuous","vertical",1,0,0,0,5,TRUE,0.0347,0,0.0347,0,0.041,0.0035,0.0345,0.0018,0.0387,0.004,0.039,0.0038,0.0386,0.0034,0.0532,0.0057,0.092,0.0373,0.041,0.0035,0.0345,0.0018,0.0387,0.004,0.039,0.0038,0.0386,0.0034,0.0532,0.0057,0.092,0.0373,0.0393,0.0038,0.0335,0.0253,0.0314,0.0345,0.0345,0.0472,0.0972,2e-04,0,0.0406,0.011,0.0037,0.0022,0.0034,0.0053,0.0046,0.0326,-0.0186644842800388,0.0197163943232352,0.0121177439626479,-0.0186644842800389,0.0197163943232352,0.0121177439626478,-0.00116150841236833,0.000350330774044025,-0.000391337245933747,-0.00116150841236833,0.000350330774044024,-0.000391337245933747,-0.48034634774473,-0.15831885154458,0.000723244241246805,5.24072414420523,0.0500163898141194,6.649683901544,0.0626112477505525,6.65690355537221,0.0626728118148145,2.70974587079348,2.30891022689086,1.3397596073044,2.70974587079348,2.30891022689086,1.3397596073044,0.260493544993149,0.131940158603458,0.131763837475272,0.260493544993149,0.131940158603458,0.131763837475272,0.0490465726550162,0.0295101037396533,0.0307244597057199,2.02535073370229,0.0182689539638391,2.32300304260716,0.0203944236996937,2.33114761862494,0.0204423344474146
