"outcome","pleiotropy","IV_strength","effect","overlap","r2","number_of_SNPs","xQTL_from_one_sample"
"binary_use_all_in_xQTL","horizontal",0.5,0,0,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0,0,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",1,0,0,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",1,0,0,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",2,0,0,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",2,0,0,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",0.5,0.1,0,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0.1,0,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",1,0.1,0,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",1,0.1,0,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",2,0.1,0,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",2,0.1,0,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",0.5,0,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",1,0,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",1,0,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",2,0,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",2,0,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",0.5,0.1,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0.1,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",1,0.1,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",1,0.1,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",2,0.1,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",2,0.1,0.5,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",0.5,0,1,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0,1,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",1,0,1,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",1,0,1,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",2,0,1,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",2,0,1,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",0.5,0.1,1,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0.1,1,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",1,0.1,1,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",1,0.1,1,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",2,0.1,1,0.2,5,TRUE
"binary_use_all_in_xQTL","vertical",2,0.1,1,0.2,5,TRUE
"binary_use_all_in_xQTL","horizontal",0.5,0,0,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0,0,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",1,0,0,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",1,0,0,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",2,0,0,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",2,0,0,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",0.5,0.1,0,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0.1,0,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",1,0.1,0,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",1,0.1,0,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",2,0.1,0,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",2,0.1,0,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",0.5,0,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",1,0,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",1,0,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",2,0,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",2,0,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",0.5,0.1,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0.1,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",1,0.1,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",1,0.1,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",2,0.1,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",2,0.1,0.5,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",0.5,0,1,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0,1,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",1,0,1,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",1,0,1,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",2,0,1,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",2,0,1,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",0.5,0.1,1,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",0.5,0.1,1,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",1,0.1,1,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",1,0.1,1,0.2,20,TRUE
"binary_use_all_in_xQTL","horizontal",2,0.1,1,0.2,20,TRUE
"binary_use_all_in_xQTL","vertical",2,0.1,1,0.2,20,TRUE
